"","Id","date","TotalSteps","TotalDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","Light Sleep","Deep Sleep","REM Sleep","total_mets"
"1",1503960366,2016-04-12,13162,8.5,25,13,328,728,1985,327,13,6,25241
"2",1503960366,2016-04-13,10735,6.96999979019165,21,19,217,776,1797,290,11,12,22859
"3",1503960366,2016-04-15,9762,6.28000020980835,29,34,209,726,1745,412,22,8,22190
"4",1503960366,2016-04-16,12669,8.15999984741211,36,10,221,773,1863,270,16,3,23694
"5",1503960366,2016-04-17,9705,6.48000001907349,38,20,164,539,1728,668,11,0,21972
"6",1503960366,2016-04-19,15506,9.88000011444092,50,31,264,775,2035,304,16,0,25883
"7",1503960366,2016-04-20,10544,6.67999982833862,28,12,205,818,1786,360,14,3,22716
"8",1503960366,2016-04-21,9819,6.34000015258789,19,8,211,838,1775,325,36,3,22577
"9",1503960366,2016-04-23,14371,9.03999996185303,41,21,262,732,1949,361,22,1,24786
"10",1503960366,2016-04-24,10039,6.40999984741211,39,5,238,709,1788,430,19,0,22746
"11",1503960366,2016-04-25,15355,9.80000019073486,73,14,216,814,2013,277,40,6,25596
"12",1503960366,2016-04-26,13755,8.78999996185303,31,23,279,833,1970,245,26,3,25056
"13",1503960366,2016-04-28,13154,8.52999973297119,48,28,189,782,1898,366,26,1,24141
"14",1503960366,2016-04-29,11181,7.15000009536743,16,12,243,815,1837,341,13,0,23365
"15",1503960366,2016-04-30,14673,9.25,52,34,217,712,1947,404,20,1,24763
"16",1503960366,2016-05-01,10602,6.80999994277954,33,35,246,730,1820,369,22,5,23282
"17",1503960366,2016-05-02,14727,9.71000003814697,41,15,277,798,2004,277,26,6,25655
"18",1503960366,2016-05-03,15103,9.65999984741211,50,24,254,816,1990,273,20,3,25477
"19",1503960366,2016-05-05,14070,8.89999961853027,45,24,250,857,1959,247,16,1,25082
"20",1503960366,2016-05-06,12159,8.02999973297119,24,6,289,754,1896,334,31,2,24272
